Vernier Format 2
Untitled.cmbl 2/4/2020 12:55:07 .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s	m	m	m/s	m/s

0	-0.00118623878579	-0.00118623878579	0.12932721805	0.0679677692572
0.022	0.00118623878579	0	0.168800487563	0.0722240196048
0.039	0.00474495514315	0.00237247757157	0.226611011308	0.0501160839574
0.056	0.00711743271472	0.00237247757157	0.385099716807	-0.00603432604683
0.073	0.0177935817868	0.00118623878579	0.565612279529	-0.0115722187897
0.09	0.0272834920731	0.00118623878579	0.712685628815	0.0297474696742
0.106	0.0403321187168	0.00237247757157	0.916734678611	0.0693408206057
0.123	0.0569394617178	0.00355871635736	1.14133080879	0.0994891155606
0.14	0.0794779986477	0.00593119392894	1.34358987178	0.106761490721
0.157	0.104389013149	0.00830367150051	1.46153247862	0.052565216292
0.174	0.128113788865	0.00830367150051	1.63140701344	-0.0300741606358
0.19	0.156583519724	0.00593119392894	1.88771599299	-0.0398908256282
0.207	0.192170683298	0.00593119392894	2.05250705396	0.0193729615069
0.224	0.226571608085	0.00711743271472	2.20338039564	0.0602423226508
0.241	0.266903726802	0.00711743271472	2.35699037329	0.138293471104
0.258	0.306049606733	0.0130486266437	2.54485087822	0.148795780901
0.274	0.351126680593	0.0130486266437	2.71161997405	0.102735011339
0.291	0.397389993239	0.0154211042152	2.78212053976	0.111204837769
0.308	0.446025783456	0.016607343001	2.84150708364	0.12629954131
0.325	0.491102857316	0.0189798205726	3.03781011888	0.175140336902
0.342	0.549228557819	0.0249110145015	3.25641300885	0.108904955272
0.358	0.601423064394	0.02253853693	3.3364257342	0.0468283605201
0.375	0.657176287326	0.0237247757157	3.50580253947	0.115103696756
0.392	0.721233181759	0.0272834920731	3.61663272161	0.14406187888
0.409	0.782917598619	0.0308422084305	3.58457806381	0.0729583254
0.425	0.839857060337	0.0284697308589	3.53252795995	0.0491125412272
0.442	0.897982760841	0.0308422084305	3.5552636823	0.106827553851
0.459	0.958480938916	0.0344009247878	3.49103096782	0.0641964519367
0.476	1.02609654971	0.0320284472163	2.69381094202	0.0724296984901
0.493	1.085408489	0.0355871635736	0.00355907226458	0.136992409898
0.509	1.02491031092	0.0379596411452	-2.64437741247	0.136724151466
0.526	0.958480938916	0.0403321187168	-3.10313167199	0.115207466054
0.543	0.911031387484	0.0415183575025	-2.88093207858	0.105017021918
0.56	0.868326791196	0.0450770738599	-2.84663263047	0.0373383864892
0.577	0.814946045836	0.0415183575025	-2.87640236388	0.0317049594197
0.593	0.769868971976	0.0462633126457	-2.7467033961	0.0297182534093
0.61	0.724791898116	0.0427045962883	-2.60853382071	0.0257953839644
0.627	0.680901063042	0.0450770738599	-2.44039555696	0.114553451373
0.644	0.639382705539	0.0486357902173	-2.16025921666	0.0933854941108
0.661	0.609726735895	0.0498220290031	-1.98199687969	-0.00815664994369
0.677	0.575325811107	0.0474495514315	-1.87004015275	-0.0716250013128
0.694	0.545669841462	0.0462633126457	-1.65069404475	-0.0604536078038
0.711	0.519572588175	0.0450770738599	-1.4607018774	-0.0253529465982
0.728	0.497034051245	0.0450770738599	-1.31322040658	0.0309451802967
0.745	0.475681753101	0.0474495514315	-1.21038204466	0.0216200359953
0.761	0.455515693742	0.0450770738599	-1.02374057667	0.0395933509315
0.778	0.442467067099	0.0486357902173	-0.862294856149	0.0542915538244
0.795	0.425859724098	0.0486357902173	-0.686506622794	-0.0136068566605
0.812	0.418742291383	0.0474495514315	-0.491947764198	-0.0427777675644
0.829	0.410438619882	0.0462633126457	-0.354802320442	-0.0238750004376
0.845	0.405693664739	0.0462633126457	-0.140668347222	0.0219175106921
